School,Conference,Conf-W,Conf-L,Overall-W,Overall-L,Rank,Division
Air Force,Mt. West,3,5,4,7,,1A
Akron,MAC,5,3,7,6,,1A
Arizona,Pac-12,2,6,3,8,,1A
Arizona State,Pac-12,4,4,7,5,,1A
Arkansas,SEC,2,6,4,7,,1A
Ball State,MAC,4,4,4,7,,1A
Baylor,Big 12,2,6,5,6,,1A
Bowling Green,MAC,5,3,6,5,,1A
Buffalo,MAC,1,7,1,10,,1A
BYU,Mt. West,5,3,6,6,,1A
Central Michigan,MAC,5,3,6,5,,1A
Cincinnati,ACC,2,5,4,7,,1A
Colorado State,Mt. West,5,3,6,6,,1A
Colorado,Big 12,5,3,7,6,,1A
Connecticut,ACC,2,5,5,6,,1A
Duke,ACC,0,8,1,10,,1A
East Carolina,C-USA,4,4,5,6,,1A
Eastern Michigan,MAC,3,5,4,7,,1A
Georgia Tech,ACC,5,3,7,5,,1A
Houston,C-USA,4,4,6,6,,1A
Illinois,Big Ten,0,8,2,9,,1A
Indiana,Big Ten,1,7,4,7,,1A
Iowa,Big Ten,5,3,7,5,,1A
Iowa State,Big 12,4,4,7,5,,1A
Kansas,Big 12,3,5,7,5,,1A
Kansas State,Big 12,2,6,5,6,,1A
Kent State,MAC,0,8,1,10,,1A
Kentucky,SEC,2,6,3,8,,1A
Marshall,C-USA,3,5,4,7,,1A
Maryland,ACC,3,5,5,6,,1A
Memphis,C-USA,5,3,7,5,,1A
Miami (Ohio),MAC,5,3,7,4,,1A
Michigan,Big Ten,5,3,7,5,,1A
Michigan State,Big Ten,2,6,5,6,,1A
Minnesota,Big Ten,4,4,7,5,,1A
Mississippi State,SEC,1,7,3,8,,1A
Missouri,Big 12,4,4,7,5,,1A
NC State,ACC,3,5,7,5,,1A
New Mexico,Mt. West,4,4,6,5,,1A
Texas,Big 12,8,0,13,0,1,1A
Georgia,SEC,6,2,10,3,10,1A
TCU,Mt. West,8,0,11,1,11,1A
Florida,SEC,5,3,9,3,12,1A
Oregon,Pac-12,7,1,10,2,13,1A
Auburn,SEC,7,1,9,3,14,1A
Wisconsin,Big Ten,5,3,10,3,15,1A
UCLA,Pac-12,6,2,10,2,16,1A
Miami (Fla.),ACC,6,2,9,3,17,1A
Boston College,ACC,5,3,9,3,18,1A
Louisville,ACC,5,2,9,3,19,1A
USC,Pac-12,8,0,12,1,2,1A
Texas Tech,Big 12,6,2,9,3,20,1A
Clemson,ACC,4,4,8,4,21,1A
Oklahoma,Big 12,6,2,8,4,22,1A
Florida State,ACC,5,3,8,5,23,1A
Nebraska,Big 12,4,4,8,4,24,1A
California,Pac-12,4,4,8,4,25,1A
Penn State,Big Ten,7,1,11,1,3,1A
Ohio State,Big Ten,7,1,10,2,4,1A
LSU,SEC,7,1,11,2,5,1A
West Virginia,ACC,7,0,11,1,6,1A
Virginia Tech,ACC,7,1,11,2,7,1A
Alabama,SEC,6,2,10,2,8,1A
North Carolina,ACC,4,4,5,6,,1A
Northern Illinois,MAC,6,2,7,5,,1A
Northwestern,Big Ten,5,3,7,5,,1A
Ohio,MAC,3,5,4,7,,1A
Oklahoma State,Big 12,1,7,4,7,,1A
Ole Miss,SEC,1,7,3,8,,1A
Oregon State,Pac-12,3,5,5,6,,1A
Pittsburgh,ACC,4,3,5,6,,1A
Purdue,Big Ten,3,5,5,6,,1A
Rice,C-USA,1,7,1,10,,1A
Rutgers,ACC,4,3,7,5,,1A
San Diego State,Mt. West,4,4,5,7,,1A
SMU,C-USA,4,4,5,6,,1A
South Carolina,SEC,5,3,7,5,,1A
South Florida,ACC,4,3,6,6,,1A
Southern Miss,C-USA,5,3,7,5,,1A
Stanford,Pac-12,4,4,5,6,,1A
Syracuse,ACC,0,7,1,10,,1A
Tennessee,SEC,3,5,5,6,,1A
Texas A&M,Big 12,3,5,5,6,,1A
Toledo,MAC,6,2,9,3,,1A
Tulane,C-USA,1,7,2,9,,1A
Tulsa,C-USA,6,2,9,4,,1A
UAB,C-USA,3,5,5,6,,1A
UCF,C-USA,7,1,8,5,,1A
UNLV,Mt. West,1,7,2,9,,1A
Utah,Mt. West,4,4,7,5,,1A
UTEP,C-USA,5,3,8,4,,1A
Vanderbilt,SEC,3,5,5,6,,1A
Virginia,ACC,3,5,7,5,,1A
Wake Forest,ACC,3,5,4,7,,1A
Washington,Pac-12,1,7,2,9,,1A
Washington State,Pac-12,1,7,4,7,,1A
Western Michigan,MAC,5,3,7,4,,1A
Wyoming,Mt. West,2,6,4,7,,1A
Arkansas State,Sun Belt,5,2,6,6,,1A
Louisiana-Lafayette,Sun Belt,5,2,6,5,,1A
Louisiana-Monroe,Sun Belt,5,2,5,6,,1A
Middle Tennessee,Sun Belt,3,4,4,7,,1A
Troy,Sun Belt,3,4,4,7,,1A
Florida Atlantic,Sun Belt,2,5,2,9,,1A
North Texas,Sun Belt,2,5,2,9,,1A
FIU,Sun Belt,0,4,0,6,,1A
Boise State,West,7,1,9,4,,1A
Nevada,West,7,1,9,3,,1A
Louisiana Tech,West,6,2,7,4,,1A
Fresno State,West,6,2,8,5,,1A
Hawaii,West,4,4,5,7,,1A
San Jose State,West,2,6,3,8,,1A
Utah State,West,2,6,3,8,,1A
Idaho,West,2,6,2,9,,1A
New Mexico State,West,0,8,0,12,,1A
Notre Dame,Ind.,,,9,3,9,1A
Navy,Ind.,,,8,4,,1A
Army,Ind.,,,4,7,,1A
Temple,Ind.,,,0,11,,1A
Appalachian State,,6,1,12,3,1,I-AA
Hampton,,8,0,11,1,10,I-AA
Grambling State,,9,0,11,1,11,I-AA
Montana,,5,2,8,4,12,I-AA
E. Washington $,,5,2,7,5,13,I-AA
Youngstown State,,5,2,8,3,14,I-AA
Brown,,6,1,9,1,15,I-AA
Nicholls State,,5,1,6,4,17,I-AA
Montana State,,5,2,7,4,18,I-AA
UMass,,6,2,7,4,19,I-AA
Northern Iowa,,5,2,11,4,2,I-AA
South Carolina St,,7,1,9,2,20,I-AA
Lafayette,,5,1,8,4,21,I-AA
Illinois State,,4,3,7,4,22,I-AA
Colgate,,5,1,8,4,23,I-AA
Coastal Carolina,,3,1,9,2,24,I-AA
James Madison,,5,3,7,4,25,I-AA
Furman,,5,2,11,3,3,I-AA
Texas State,,5,1,11,3,4,I-AA
Cal Poly,,4,1,9,4,5,I-AA
Southern Illinois,,5,2,9,4,6,I-AA
Richmond,,7,1,9,4,7,I-AA
Georgia Southern,,5,2,8,4,8,I-AA
5 New Hampshire,,7,1,11,2,9,I-AA
Alabama A&M,,7,2,9,3,,I-AA
Alabama State,,6,3,6,5,,I-AA
Albany,,4,3,5,6,,I-AA
Alcorn State,,5,4,6,5,,I-AA
Bethune–Cookman,,4,4,7,4,,I-AA
Bucknell,,0,6,1,10,,I-AA
Butler,,0,4,0,11,,I-AA
Central Connecticut,,5,2,7,4,,I-AA
Charleston Southern,,3,1,7,4,,I-AA
Chattanooga,,3,4,6,5,,I-AA
Columbia,,0,7,2,8,,I-AA
Cornell,,4,3,6,4,,I-AA
Dartmouth,,1,6,2,8,,I-AA
Dayton,,3,1,9,1,,I-AA
Delaware,,3,5,6,5,,I-AA
Delaware State,,6,2,7,4,,I-AA
Drake,,2,2,6,4,,I-AA
Duquesne,,4,0,7,3,,I-AA
Eastern Kentucky,,7,1,7,4,,I-AA
Elon,,0,7,3,8,,I-AA
Florida A&M,,5,3,6,5,,I-AA
Fordham,,2,4,2,9,,I-AA
Gardner–Webb,,2,2,5,6,,I-AA
Georgetown,,2,4,4,7,,I-AA
Harvard,,5,2,7,3,,I-AA
Hofstra,,5,3,8,4,,I-AA
Holy Cross,,3,3,6,5,,I-AA
Idaho State,,3,4,5,6,,I-AA
Indiana State,,0,7,0,11,,I-AA
Iona,,1,3,3,7,,I-AA
Jackson State,,2,7,2,9,,I-AA
Jacksonville,,2,1,4,4,,I-AA
Jacksonville State,,6,2,6,5,,I-AA
La Salle,,2,2,5,6,,I-AA
Lehigh,,4,2,8,3,,I-AA
Liberty,,0,4,1,10,,I-AA
Maine,,3,5,5,6,,I-AA
Marist,,3,1,7,4,,I-AA
McNeese State,,3,3,5,4,,I-AA
Mississippi Valley State,,5,4,6,5,,I-AA
Missouri State,,2,5,4,6,,I-AA
Monmouth,,4,3,6,4,,I-AA
Morehead State,,3,0,8,4,,I-AA
Murray State,,0,7,2,9,,I-AA
No. 16 Eastern Illinois,,8,0,9,3,,I-AA
North Dakota State,,3,2,7,4,,I-AA
North Division,,,,,,,I-AA
Northeastern,,2,6,3,9,,I-AA
Northern Arizona,,1,6,3,8,,I-AA
Northern Colorado,,0,5,4,7,,I-AA
Northwestern State,,3,3,5,5,,I-AA
Penn,,3,4,5,5,,I-AA
Portland State,,4,3,6,5,,I-AA
Princeton,,5,2,7,3,,I-AA
Rhode Island,,2,6,4,7,,I-AA
Sacramento State,,1,6,2,9,,I-AA
Saint Peter's,,0,4,1,9,,I-AA
Sam Houston State,,2,4,3,7,,I-AA
Samford,,4,4,5,6,,I-AA
San Diego,,4,0,11,1,,I-AA
South Dakota State,,3,2,6,5,,I-AA
Southeast Missouri State,,2,6,2,9,,I-AA
Southeastern Louisiana,,2,4,4,6,,I-AA
Southern Utah,,1,4,1,9,,I-AA
Stephen F. Austin,,1,5,5,6,,I-AA
Stony Brook,,5,2,6,5,,I-AA
Tennessee State,,1,6,2,9,,I-AA
Tennessee Tech,,3,5,4,7,,I-AA
The Citadel,,2,5,4,7,,I-AA
Towson,,3,5,7,4,,I-AA
UC Davis,,4,1,6,5,,I-AA
UT Martin,,4,4,6,5,,I-AA
Valparaiso,,1,3,3,8,,I-AA
Villanova,,2,6,4,7,,I-AA
VMI,,2,2,3,8,,I-AA
Wagner,,3,4,6,5,,I-AA
Weber State,,4,3,6,5,,I-AA
Western Carolina,,4,3,5,4,,I-AA
Western Illinois,,3,4,5,6,,I-AA
Western Kentucky,,4,3,6,5,,I-AA
William & Mary,,3,5,5,6,,I-AA
Wofford,,3,4,6,5,,I-AA
Yale,,4,3,4,6,,I-AA
